mesure,indicateur,id_indicateur,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite,maille
Offrir un logement aux sans-abris : Logement d’abord,Nombre de personnes sans abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,106.0,2019-12-31,84.0,2017-12-31,22.0,26.0,,,,personnes dans l'année,0 - departemental
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins optiques,tx-equipements-optique,7.06,2020-10-31,8.71,2020-01-31,-2.0,-19.0,,,,%,0 - departemental
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins auditives 100% santé dans le total des soins,tx-equipements-audio,9.09,2020-10-31,10.11,2019-01-31,-1.0,-10.0,,,,%,0 - departemental
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,3.2,2019-12-31,,,,,3.0,,2022-12-31,mois de traitement,0 - departemental
"Dédoubler les classes en REP (grande section, CP, CE1)",Part de grande section en REP dédoublées,tx-gs-rep,68.0,2020-11-30,5.0,2019-11-30,63.0,1260.0,100.0,66.0,2022-11-30,% des classes,0 - departemental
"Dédoubler les classes en REP (grande section, CP, CE1)",Part des classes de CP et CE1 en REP dédoublées,tx-classes-cp-ce1-rep,100.0,2020-10-31,94.0,2019-10-31,6.0,6.0,,,,% des classes,0 - departemental
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,1093.0,2019-12-31,,,,,,,,pères dans l'année,0 - departemental
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,90.0,2020-09-30,88.0,2019-09-30,2.0,2.0,100.0,17.0,2022-09-30,% des classes,0 - departemental
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,16.0,2019-12-31,33.0,2017-12-31,-17.0,-52.0,,,,morts dans l'année,0 - departemental
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,45.0,2019-10-31,42.0,2017-10-31,3.0,7.0,,,,% de réussite,0 - departemental
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,64.0,2019-12-31,14.0,2017-12-31,50.0,357.0,,,,%,0 - departemental
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,90128.0,2020-12-31,0.0,2017-01-01,90128.0,,90129.0,100.0,2022-12-31,bénéficiaires,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,13.0,2020-06-30,9.0,2017-06-30,4.0,44.0,,,,maisons de santé,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,8.0,2020-11-30,0.0,2017-01-01,8.0,,23.0,35.0,2022-12-31,labellisations,0 - departemental
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,283.0,2020-09-30,229.0,2017-12-31,54.0,24.0,316.0,62.0,2022-03-31,kilomètres,0 - departemental
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,240000.0,2020-06-30,240000.0,2017-06-30,0.0,0.0,240000.0,,2022-12-31,habitants,0 - departemental
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,3893.0,2020-09-30,0.0,2018-03-31,3893.0,,,,,primes et bonus,0 - departemental
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,1365.0,2019-12-31,1064.0,2017-12-31,301.0,28.0,,,,contrats,0 - departemental
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,10.0,2020-06-30,3.0,2017-12-31,7.0,233.0,,,,% de déploiement,0 - departemental
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,36.0,2020-09-30,40.0,2017-09-30,-4.0,-10.0,38.0,200.0,2022-09-30,unités,0 - departemental
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,1.0,2020-09-30,1.0,2017-09-30,0.0,0.0,3.0,0.0,2022-09-30,classes,0 - departemental
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,15.0,2020-10-31,,,,,,,,amendes dressées dans l'année,0 - departemental
Plan #1jeune1solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,4282.0,2019-12-31,4000.0,2018-12-31,282.0,7.0,,,,recrutements dans l'année,0 - departemental
Pacte d’ambition pour l’insertion par l’activité économique,Nombre de bénéficiaires en structures d’insertion par l’activité économique,nb-beneficiaires-siae,1502.0,2020-07-31,1183.0,2018-01-31,319.0,27.0,,,,bénéficiaires par mois,1 - regional
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés par les plans de lutte contre la radicalisation dans les quartiers (PLR-Q) et les cellules départementales de lutte contre l'islamisme et le repli communautaire (CLIR),nb-controles-clir,155.0,2019-12-31,13.0,2018-12-31,142.0,1092.0,,,,contrôles dans l'année,1 - regional
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,8421.0,2020-10-31,0.0,2017-01-01,8421.0,,,,,utilisateurs,1 - regional
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,123.0,2019-12-31,52.0,2017-12-31,71.0,137.0,,,,ordonnances dans l'année,1 - regional
Améliorer la qualité du service rendu à l’usager,Taux de satisfaction des usagers à l’égard des services publics,tx-satisfaction-usagers-services-publics,76.0,2020-12-31,72.0,2017-12-31,4.0,6.0,77.0,80.0,2022-12-31,% de satisfaction,2 - national
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,68941131.0,2019-12-31,68437499.0,2017-12-31,503632.0,1.0,,,,heures de patrouille dans l'année,2 - national
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins dentaire,tx-equipements-dentaire,51.9,2020-09-30,26.08,2019-04-30,26.0,99.0,45.0,136.0,2022-12-31,%,2 - national
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faible émission,nb-habitants-zfe,5102636.0,2020-12-31,2220445.0,2017-12-31,2882191.0,130.0,,,,habitants,2 - national
